현재 시간,행동,결과,레벨,소지금,강화비용,판매가격,강화 성공률
2024-04-03 오후 6:27:08,강화,강화 성공,2,4093,15,180,93
2024-04-03 오후 6:27:08,강화,강화 실패,3,4071,22,324,86
2024-04-03 오후 6:27:08,판매,판매,1,4071,10,100,100
2024-04-03 오후 6:27:08,강화,강화 성공,1,4161,10,100,100
2024-04-03 오후 6:27:08,강화,강화 성공,2,4146,15,180,93
2024-04-03 오후 6:27:08,판매,판매,3,4146,22,324,86
2024-04-03 오후 6:27:08,강화,강화 성공,1,4460,10,100,100
2024-04-03 오후 6:27:08,강화,강화 성공,2,4445,15,180,93
2024-04-03 오후 6:27:08,판매,판매,3,4445,22,324,86
2024-04-03 오후 6:27:08,판매,판매,1,4769,10,100,100
2024-04-03 오후 6:27:08,강화,강화 성공,1,4859,10,100,100
2024-04-03 오후 6:27:08,강화,강화 성공,2,4844,15,180,93
2024-04-03 오후 6:27:08,판매,판매,3,4844,22,324,86
2024-04-03 오후 6:27:08,강화,강화 성공,1,5158,10,100,100
2024-04-03 오후 6:27:08,강화,강화 실패,2,5143,15,180,93
2024-04-03 오후 6:27:08,판매,판매,1,5143,10,100,100
2024-04-03 오후 6:27:08,강화,강화 성공,1,5233,10,100,100
2024-04-03 오후 6:27:08,강화,강화 성공,2,5218,15,180,93
2024-04-03 오후 6:27:08,판매,판매,3,5218,22,324,86
2024-04-03 오후 6:27:08,강화,강화 성공,1,5532,10,100,100
2024-04-03 오후 6:27:08,판매,판매,2,5532,15,180,93
2024-04-03 오후 6:27:08,강화,강화 성공,1,5702,10,100,100
2024-04-03 오후 6:27:08,강화,강화 성공,2,5687,15,180,93
2024-04-03 오후 6:27:08,강화,강화 성공,3,5665,22,324,86
2024-04-03 오후 6:27:08,강화,강화 성공,4,5631,34,583,80
2024-04-03 오후 6:27:08,판매,판매,5,5631,51,1050,75
2024-04-03 오후 6:27:08,강화,강화 성공,1,6671,10,100,100
2024-04-03 오후 6:27:08,강화,강화 성공,2,6656,15,180,93
2024-04-03 오후 6:27:08,강화,강화 성공,3,6634,22,324,86
2024-04-03 오후 6:27:08,강화,강화 성공,4,6600,34,583,80
2024-04-03 오후 6:27:08,강화,강화 성공,5,6549,51,1050,75
2024-04-03 오후 6:27:08,강화,강화 실패,6,6473,76,1890,70
2024-04-03 오후 6:27:08,강화,강화 성공,1,6463,10,100,100
2024-04-03 오후 6:27:08,강화,강화 성공,2,6448,15,180,93
